GPU,sys_phy_cores_count,sys_tot_cores_count,sys_ntasks_per_core,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,data_rr_count,model_encoding,batch_size,epochs,learning_rate,epochs_times_one,epochs_times_avg,fit_time
0,28,28,28,3300.0,135104114688,51539603456,10000,3,1,1,0.001,966.69,966.69,969.03
0,28,28,28,3300.0,135104114688,51539603456,10000,1,1,2,0.001,1911.64,1911.175,3824.58
0,28,28,28,3300.0,135104114688,51539603456,10000,2,1,2,0.001,1294.11,1291.87,2586.51
0,28,28,28,3300.0,135104114688,51539603456,10000,3,1,2,0.001,968.03,962.62,1927.53
0,28,28,28,3300.0,135104114688,51539603456,10000,1,10,1,0.001,1374.4,1374.4,1376.53
0,28,28,28,3300.0,135104114688,51539603456,10000,2,10,1,0.001,647.57,647.57,650.01
0,28,28,28,3300.0,135104114688,51539603456,10000,3,10,1,0.001,419.77,419.77,421.95
0,28,28,28,3300.0,135104114688,51539603456,10000,1,10,2,0.001,1377.4,1375.97,2754.03
0,28,28,28,3300.0,135104114688,51539603456,10000,2,10,2,0.001,656.79,654.05,1311.59
0,28,28,28,3300.0,135104114688,51539603456,10000,3,10,2,0.001,418.62,415.28,832.7
0,28,28,28,3300.0,135104114688,51539603456,10000,1,32,1,0.001,1399.03,1399.03,1402.08
0,28,28,28,3300.0,135104114688,51539603456,10000,2,32,1,0.001,590.22,590.22,592.36
0,28,28,28,3300.0,135104114688,51539603456,10000,3,32,1,0.001,378.49,378.49,380.77
0,28,28,28,3300.0,135104114688,51539603456,10000,1,32,2,0.001,1342.16,1342.165,2686.47
0,28,28,28,3300.0,135104114688,51539603456,10000,2,32,2,0.001,589.89,587.635,1178.44
0,28,28,28,3300.0,135104114688,51539603456,10000,3,32,2,0.001,380.67,376.495,755.13
0,28,28,28,3300.0,135104114688,51539603456,10000,1,64,1,0.001,1408.62,1408.62,1411.98
0,28,28,28,3300.0,135104114688,51539603456,10000,2,64,1,0.001,614.14,614.14,616.27
0,28,28,28,3300.0,135104114688,51539603456,10000,3,64,1,0.001,371.76,371.76,374.03
0,28,28,28,3300.0,135104114688,51539603456,10000,1,64,2,0.001,1394.71,1398.56,2800.0
0,28,28,28,3300.0,135104114688,51539603456,10000,2,64,2,0.001,567.17,565.415,1134.96
0,28,28,28,3300.0,135104114688,51539603456,10000,3,64,2,0.001,372.33,371.81,745.92
0,28,28,28,3300.0,135104114688,51539603456,10000,1,128,1,0.001,1416.76,1416.76,1420.24
